movie,Palominas,2018,\N,"Action,Drama,Western"
movie,Gemini Man,2019,\N,"Action,Drama,Sci-Fi"
movie,Poltergeist,2015,93,"Horror,Thriller"
movie,Cold Skin,2017,108,"Adventure,Horror,Sci-Fi"
movie,Suspiria,2018,152,"Fantasy,Horror,Mystery"
movie,"Havana, Habana",2017,65,Drama
movie,Goosebumps,2015,103,"Adventure,Comedy,Family"
movie,The Rogue,2019,\N,"Action,Drama,Thriller"
movie,Costa Rica 3D,2019,82,"Adventure,Documentary"
movie,Winchester,2018,99,"Biography,Fantasy,Horror"
movie,Hauntsville,2016,\N,"Horror,Thriller"
