movie,Maximum Ride,2016,----,88,"Action,Adventure,Comedy"
movie,Return To Yucca Flats: Desert Man-Beast,2010,NOT FOR SHAUN!,79,"Comedy,Horror"
movie,The Babymakers,2012,----,95,Comedy
movie,Krystal,2017,----,90,"Comedy,Drama"
movie,Pee-Wee'S Big Holiday,2016,----,90,"Adventure,Comedy,Family"
movie,Hotel Transylvania,2012,----,91,"Animation,Comedy,Family"
movie,Retreat!,2016,----,\N,"Comedy,Drama,War"
movie,Whatever Happened To Pete Blaggit?,2012,----,94,"Comedy,Sci-Fi"
movie,The Kids Are All Right,2010,----,106,"Comedy,Drama,Romance"
movie,Pox,2011,----,100,"Comedy,Sci-Fi"
movie,Hoodwinked Too! Hood Vs. Evil,2011,----,86,"Animation,Comedy,Crime"
movie,Loot,2011,----,\N,"Action,Comedy,Crime"
movie,Fun In The Army,2010,----,\N,Comedy
movie,Sir Billi,2012,----,76,"Adventure,Animation,Comedy"
movie,Naked Run,2011,----,84,Comedy
movie,2001 Maniacs: Field Of Screams,2010,NOT FOR SHAUN!,84,"Comedy,Horror"
movie,Wide Blue Yonder,2010,----,82,"Comedy,Drama"
movie,Zenitram,2010,----,103,"Action,Adventure,Comedy"
movie,Lupin The 3Rd,2014,----,133,"Action,Adventure,Comedy"
movie,Mr. Peabody & Sherman,2014,----,92,"Adventure,Animation,Comedy"
movie,6 Month Rule,2011,----,100,Comedy
movie,Touch Wood,2010,----,\N,Comedy
movie,The Nightclub Days,2012,----,\N,Comedy
movie,Jewtopia,2012,----,90,"Comedy,Romance"
movie,Please Give,2010,----,87,"Comedy,Drama"
movie,Air: The Musical,2010,----,100,"Comedy,Musical,Romance"
movie,The Wedding Ringer,2015,----,101,Comedy
movie,Repo,2010,----,97,"Comedy,Drama"
movie,The Switch,2010,----,101,"Comedy,Drama,Romance"
movie,Hamlet A.D.D.,2014,----,95,"Animation,Comedy,Fantasy"
movie,Letters To Juliet,2010,----,105,"Adventure,Comedy,Drama"
movie,Shrek Forever After,2010,----,93,"Adventure,Animation,Comedy"
movie,From Prada To Nada,2011,----,107,"Comedy,Drama,Romance"
movie,The Unlikely'S,2016,----,\N,Comedy
movie,A Merry Friggin' Christmas,2014,----,88,Comedy
movie,Movin' In,2010,----,95,"Comedy,Romance"
movie,Jackboots On Whitehall,2010,----,91,"Animation,Comedy,Sci-Fi"
movie,The Happy Housewife,2010,----,100,"Comedy,Drama,Romance"
movie,Pizza With Bullets,2010,----,99,Comedy
movie,The Penthouse,2010,----,89,Comedy
movie,Joe Dick,2017,----,96,Comedy
movie,Freaky Deaky,2012,----,90,"Comedy,Crime,Thriller"
movie,Reach Me,2014,----,95,"Comedy,Crime,Drama"
movie,Private Security Officer: Los Angeles,2010,----,84,"Action,Comedy,Crime"
movie,A Monster In Paris,2011,----,90,"Adventure,Animation,Comedy"
